query,name,subtypes,category,type,phone,full_address,borough,city,postal_code,latitude,longitude,rating,reviews,reviews_link,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,working_hours,other_hours,business_status,about,description,verified,owner_id,reservation_links,booking_appointment_link,order_links,location_link,location_reviews_link,place_id,google_id,cid,kgmid,reviews_id
"art gallery, 411011, Pune, Maharashtra, IN",Kiyawat Art Gallery Pune,Art gallery,Art gallery,Art gallery,+91 98100 38212,"Palladium Society, A-601, Nathan Rd, off Mangaldas Road, Sangamvadi, Pune, Maharashtra 411001",Sangamvadi,Pune,411001,18.5340688,73.8825987,4.9,16,"https://search.google.com/local/reviews?placeid=ChIJi73ewYDBwjsRpe-AoUSnyyI&q=art+gallery,+411011,+Pune,+Maharashtra,+IN&authuser=0&hl=en&gl=IN",0,0,0,1,15,"{""Monday"": ""10am-7pm"", ""Tuesday"": ""10am-7pm"", ""Wednesday"": ""10am-7pm"", ""Thursday"": ""10am-7pm"", ""Friday"": ""10am-7pm"", ""Saturday"": ""10am-7pm"", ""Sunday"": ""10am-7pm""}",,OPERATIONAL,"{""Children"": {""Good for kids"": true}, ""Parking"": {""Free parking lot"": true}}",,1,104000374045657434186,,,,"https://www.google.com/maps/place/Kiyawat+Art+Gallery+Pune/@18.5340688,73.8825987,14z/data=!4m8!1m2!2m1!1sKiyawat+Art+Gallery+Pune!3m4!1s0x3bc2c180c1debd8b:0x22cba744a180efa5!8m2!3d18.5340688!4d73.8825987","https://www.google.com/maps/place/Kiyawat+Art+Gallery+Pune/@18.5340688,73.8825987,13.99z/data=!4m16!1m7!3m6!1s0x3bc2c180c1debd8b:0x22cba744a180efa5!2sKiyawat+Art+Gallery+Pune!8m2!3d18.5340688!4d73.8825987!16s%2Fg%2F11ckvg1dmb!3m7!1s0x3bc2c180c1debd8b:0x22cba744a180efa5!8m2!3d18.5340688!4d73.8825987!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJi73ewYDBwjsRpe-AoUSnyyI,0x3bc2c180c1debd8b:0x22cba744a180efa5,2.50728153077101E+018,/g/11w8jd13bk,2507281530771009445
"art gallery, 411011, Pune, Maharashtra, IN",Vesavar Art Gallery,Art gallery,Art gallery,Art gallery,+91 81969 79697,"MG Pune Central 2422, General Thimayya Road, East St, Pune, Maharashtra 411001",Camp,Pune,411001,18.512139,73.8797938,4.8,69,"https://search.google.com/local/reviews?placeid=ChIJschsyxrBwjsRNuduSfCcuSw&q=art+gallery,+411011,+Pune,+Maharashtra,+IN&authuser=0&hl=en&gl=IN",0,0,0,11,58,"{""Monday"": ""10:30am-7:30pm"", ""Tuesday"": ""10:30am-7:30pm"", ""Wednesday"": ""10:30am-7:30pm"", ""Thursday"": ""10:30am-7:30pm"", ""Friday"": ""10:30am-7:30pm"", ""Saturday"": ""10:30am-7:30pm"", ""Sunday"": ""10:30am-7:30pm""}",,OPERATIONAL,"{""Amenities"": {""Toilets"": true, ""Restaurant"": false}, ""Children"": {""Good for kids"": true}}",,1,105799950755721808725,,,,"https://www.google.com/maps/place/Vesavar+Art+Gallery/@18.512138999999998,73.8797938,14z/data=!4m8!1m2!2m1!1sVesavar+Art+Gallery!3m4!1s0x3bc2c11acb6cc8b1:0x2cb99cf0496ee736!8m2!3d18.512138999999998!4d73.8797938","https://www.google.com/maps/place/Vesavar+Art+Gallery/@18.512138999999998,73.8797938,13.99z/data=!4m16!1m7!3m6!1s0x3bc2c11acb6cc8b1:0x2cb99cf0496ee736!2sVesavar+Art+Gallery!8m2!3d18.512138999999998!4d73.8797938!16s%2Fg%2F11ckvg1dmb!3m7!1s0x3bc2c11acb6cc8b1:0x2cb99cf0496ee736!8m2!3d18.512138999999998!4d73.8797938!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJschsyxrBwjsRNuduSfCcuSw,0x3bc2c11acb6cc8b1:0x2cb99cf0496ee736,3.22277956419839E+018,/g/11ssv96t72,3222779564198389558
"art gallery, 411011, Pune, Maharashtra, IN",Srujan Art Gallery,"Art gallery, Tourist attraction",attractions,Art gallery,+91 20 2445 9640,"250 B, Opp Maharashtra, Paper Ln, Shaniwar Peth, Pune, Maharashtra 411030",Shaniwar Peth,Pune,411030,18.5174163,73.8472092,4.6,174,"https://search.google.com/local/reviews?placeid=ChIJlcRpV3fAwjsRtm7qtjd2Z9M&q=art+gallery,+411011,+Pune,+Maharashtra,+IN&authuser=0&hl=en&gl=IN",5,1,9,35,124,"{""Monday"": ""9:30am-7pm"", ""Tuesday"": ""9:30am-8pm"", ""Wednesday"": ""9:30am-8pm"", ""Thursday"": ""9:30am-8pm"", ""Friday"": ""9:30am-8pm"", ""Saturday"": ""9:30am-8pm"", ""Sunday"": ""Closed""}",,OPERATIONAL,"{""Accessibility"": {""Wheelchair-accessible car park"": true}, ""Amenities"": {""Toilets"": true, ""Restaurant"": false}, ""Children"": {""Good for kids"": true}}",,1,113538560011066273776,,,,"https://www.google.com/maps/place/Srujan+Art+Gallery/@18.5174163,73.8472092,14z/data=!4m8!1m2!2m1!1sSrujan+Art+Gallery!3m4!1s0x3bc2c0775769c495:0xd3677637b6ea6eb6!8m2!3d18.5174163!4d73.8472092","https://www.google.com/maps/place/Srujan+Art+Gallery/@18.5174163,73.8472092,13.99z/data=!4m16!1m7!3m6!1s0x3bc2c0775769c495:0xd3677637b6ea6eb6!2sSrujan+Art+Gallery!8m2!3d18.5174163!4d73.8472092!16s%2Fg%2F11ckvg1dmb!3m7!1s0x3bc2c0775769c495:0xd3677637b6ea6eb6!8m2!3d18.5174163!4d73.8472092!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJlcRpV3fAwjsRtm7qtjd2Z9M,0x3bc2c0775769c495:0xd3677637b6ea6eb6,1.52332742462681E+019,/g/1jgm4wzpj,-3213469827441463626
"art gallery, 411011, Pune, Maharashtra, IN",Shreenath Art Gallery,"Art gallery, Exhibition and trade centre",Art gallery,Art gallery,+91 97820 16617,"1483, Shreenath Art Gallery, Lokmanya Bal Gangadhar Tilak Rd, opp. Tilak Smarak mandir, Perugate, Sadashiv Peth, Pune, Maharashtra 411030","Perugate, Sadashiv Peth",Pune,411030,18.5086913,73.8493104,3.2,33,"https://search.google.com/local/reviews?placeid=ChIJ8zTzaELBwjsRusE27iierdw&q=art+gallery,+411011,+Pune,+Maharashtra,+IN&authuser=0&hl=en&gl=IN",9,3,5,3,13,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",,OPERATIONAL,"{""Amenities"": {""Restaurant"": false}, ""Children"": {""Good for kids"": true}}",,1,116463038634075254241,,,,"https://www.google.com/maps/place/Shreenath+Art+Gallery/@18.5086913,73.8493104,14z/data=!4m8!1m2!2m1!1sShreenath+Art+Gallery!3m4!1s0x3bc2c14268f334f3:0xdcad9e28ee36c1ba!8m2!3d18.5086913!4d73.8493104","https://www.google.com/maps/place/Shreenath+Art+Gallery/@18.5086913,73.8493104,13.99z/data=!4m16!1m7!3m6!1s0x3bc2c14268f334f3:0xdcad9e28ee36c1ba!2sShreenath+Art+Gallery!8m2!3d18.5086913!4d73.8493104!16s%2Fg%2F11ckvg1dmb!3m7!1s0x3bc2c14268f334f3:0xdcad9e28ee36c1ba!8m2!3d18.5086913!4d73.8493104!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJ8zTzaELBwjsRusE27iierdw,0x3bc2c14268f334f3:0xdcad9e28ee36c1ba,1.59015397579475E+019,/g/11gxmvnyw7,-2545204315762015814
"art gallery, 411011, Pune, Maharashtra, IN",RAJ ARTS AND REDIUM,Art gallery,Art gallery,Art gallery,+91 98222 70465,"Shop No 1, Peth, Gane, opp. Petrol PumpbNana, New Nana Peth, Ganesh Peth, Pune, Maharashtra 411002","New Nana Peth, Ganesh Peth",Pune,411002,18.5152623,73.8677439,5,1,"https://search.google.com/local/reviews?placeid=ChIJE2ycwx3BwjsRlPn2qPU02Rk&q=art+gallery,+411011,+Pune,+Maharashtra,+IN&authuser=0&hl=en&gl=IN",0,0,0,0,1,,,OPERATIONAL,"{""Children"": {""Good for kids"": true}}",,1,109591700807050050742,,,,"https://www.google.com/maps/place/RAJ+ARTS+AND+REDIUM/@18.5152623,73.8677439,14z/data=!4m8!1m2!2m1!1sRAJ+ARTS+AND+REDIUM!3m4!1s0x3bc2c11dc39c6c13:0x19d934f5a8f6f994!8m2!3d18.5152623!4d73.8677439","https://www.google.com/maps/place/RAJ+ARTS+AND+REDIUM/@18.5152623,73.8677439,13.99z/data=!4m16!1m7!3m6!1s0x3bc2c11dc39c6c13:0x19d934f5a8f6f994!2sRAJ+ARTS+AND+REDIUM!8m2!3d18.5152623!4d73.8677439!16s%2Fg%2F11ckvg1dmb!3m7!1s0x3bc2c11dc39c6c13:0x19d934f5a8f6f994!8m2!3d18.5152623!4d73.8677439!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJE2ycwx3BwjsRlPn2qPU02Rk,0x3bc2c11dc39c6c13:0x19d934f5a8f6f994,1.8625781506008E+018,/g/11v4drxr6n,1862578150600800660
"art gallery, 411011, Pune, Maharashtra, IN",Darshani art,Art gallery,Art gallery,Art gallery,+91 95117 36887,"Sawarkar Chowk Rd, Shriram Nagar, Chandrabhaga Nagar, Dhankawadi, Pune, Maharashtra 411043","Shriram Nagar, Chandrabhaga Nagar, Dhankawadi",Pune,411043,18.4655118,73.8481718,4.8,16,"https://search.google.com/local/reviews?placeid=ChIJW-TFdDHrwjsR_v-SH4mk43o&q=art+gallery,+411011,+Pune,+Maharashtra,+IN&authuser=0&hl=en&gl=IN",0,1,0,1,14,"{""Monday"": ""10am-7pm"", ""Tuesday"": ""10am-7pm"", ""Wednesday"": ""10am-7pm"", ""Thursday"": ""10am-7pm"", ""Friday"": ""10am-7pm"", ""Saturday"": ""10am-7pm"", ""Sunday"": ""Closed""}",,OPERATIONAL,"{""Amenities"": {""Restaurant"": false}, ""Children"": {""Good for kids"": true}}",,1,103067985137830002694,,,,"https://www.google.com/maps/place/Darshani+art/@18.465511799999998,73.8481718,14z/data=!4m8!1m2!2m1!1sDarshani+art!3m4!1s0x3bc2eb3174c5e45b:0x7ae3a4891f92fffe!8m2!3d18.465511799999998!4d73.8481718","https://www.google.com/maps/place/Darshani+art/@18.465511799999998,73.8481718,13.99z/data=!4m16!1m7!3m6!1s0x3bc2eb3174c5e45b:0x7ae3a4891f92fffe!2sDarshani+art!8m2!3d18.465511799999998!4d73.8481718!16s%2Fg%2F11ckvg1dmb!3m7!1s0x3bc2eb3174c5e45b:0x7ae3a4891f92fffe!8m2!3d18.465511799999998!4d73.8481718!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJW-TFdDHrwjsR_v-SH4mk43o,0x3bc2eb3174c5e45b:0x7ae3a4891f92fffe,8.85510220118773E+018,/g/11lj5429bw,8855102201187729406
"art gallery, 411011, Pune, Maharashtra, IN",Kakade Arts,Art gallery,Art gallery,Art gallery,+91 96573 88544,"opp. Vitoba Mandir, New Nana Peth, Arun Chowk, Pune, Maharashtra 411002","New Nana Peth, Arun Chowk",Pune,411002,18.5158476,73.8660886,5,1,"https://search.google.com/local/reviews?placeid=ChIJLxKPkfXBwjsRedM29IKhjq8&q=art+gallery,+411011,+Pune,+Maharashtra,+IN&authuser=0&hl=en&gl=IN",0,0,0,0,1,,,OPERATIONAL,"{""Children"": {""Good for kids"": true}}",,1,105473744514102984469,,,,"https://www.google.com/maps/place/Kakade+Arts/@18.5158476,73.8660886,14z/data=!4m8!1m2!2m1!1sKakade+Arts!3m4!1s0x3bc2c1f5918f122f:0xaf8ea182f436d379!8m2!3d18.5158476!4d73.8660886","https://www.google.com/maps/place/Kakade+Arts/@18.5158476,73.8660886,13.99z/data=!4m16!1m7!3m6!1s0x3bc2c1f5918f122f:0xaf8ea182f436d379!2sKakade+Arts!8m2!3d18.5158476!4d73.8660886!16s%2Fg%2F11ckvg1dmb!3m7!1s0x3bc2c1f5918f122f:0xaf8ea182f436d379!8m2!3d18.5158476!4d73.8660886!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJLxKPkfXBwjsRedM29IKhjq8,0x3bc2c1f5918f122f:0xaf8ea182f436d379,1.26502259871454E+019,/g/11vxjrqlsm,-5796518086564195463
"art gallery, 411011, Pune, Maharashtra, IN",Cosmo Art Gallery,Art gallery,Art gallery,Art gallery,+91 93710 64224,"Bhosale Paradise, Range Hill Rd, Sinchan Nagar, Ashok Nagar, Pune, Maharashtra 411020","Sinchan Nagar, Ashok Nagar",Pune,411020,18.5436968,73.8401347,4,37,"https://search.google.com/local/reviews?placeid=ChIJ98r6x1-_wjsR6P6cGKK8tZA&q=art+gallery,+411011,+Pune,+Maharashtra,+IN&authuser=0&hl=en&gl=IN",1,5,2,15,14,,,OPERATIONAL,"{""Amenities"": {""Restaurant"": false}, ""Children"": {""Good for kids"": true}}",,1,109519109143840044151,,,,"https://www.google.com/maps/place/Cosmo+Art+Gallery/@18.5436968,73.8401347,14z/data=!4m8!1m2!2m1!1sCosmo+Art+Gallery!3m4!1s0x3bc2bf5fc7facaf7:0x90b5bca2189cfee8!8m2!3d18.5436968!4d73.8401347","https://www.google.com/maps/place/Cosmo+Art+Gallery/@18.5436968,73.8401347,13.99z/data=!4m16!1m7!3m6!1s0x3bc2bf5fc7facaf7:0x90b5bca2189cfee8!2sCosmo+Art+Gallery!8m2!3d18.5436968!4d73.8401347!16s%2Fg%2F11ckvg1dmb!3m7!1s0x3bc2bf5fc7facaf7:0x90b5bca2189cfee8!8m2!3d18.5436968!4d73.8401347!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJ98r6x1-_wjsR6P6cGKK8tZA,0x3bc2bf5fc7facaf7:0x90b5bca2189cfee8,1.04274479166299E+019,/g/11cn0v0r3d,-8019296157079634200
"art gallery, 411011, Pune, Maharashtra, IN",VHC Art Gallery | Vida Heydari Contemporary,Art gallery,Art gallery,Art gallery,+91 85308 60888,"Marvel Alaina, Lane No. 8, Suyojana Society, Kavadewadi, Koregaon Park, Pune, Maharashtra 411001","Suyojana Society, Kavadewadi, Koregaon Park",Pune,411001,18.5365145,73.8964176,4.4,126,"https://search.google.com/local/reviews?placeid=ChIJe6NRq73BwjsRX5XIjX7lfuQ&q=art+gallery,+411011,+Pune,+Maharashtra,+IN&authuser=0&hl=en&gl=IN",4,4,9,26,83,"{""Monday"": ""10am-6:30pm"", ""Tuesday"": ""10am-6:30pm"", ""Wednesday"": ""10am-6:30pm"", ""Thursday"": ""10am-6:30pm"", ""Friday"": ""10am-6:30pm"", ""Saturday"": ""10am-6:30pm"", ""Sunday"": ""Closed""}",,OPERATIONAL,"{""From the business"": {""Identifies as women-owned"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}, ""Amenities"": {""Gender-neutral toilets"": true, ""Toilets"": true, ""Restaurant"": false}, ""Crowd"": {""Family friendly"": true, ""LGBTQ+ friendly"": true}, ""Children"": {""Good for kids"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as women-owned"": true}}",,1,118358455767485960648,,,,"https://www.google.com/maps/place/VHC+Art+Gallery+%7C+Vida+Heydari+Contemporary/@18.5365145,73.89641759999999,14z/data=!4m8!1m2!2m1!1sVHC+Art+Gallery+%7C+Vida+Heydari+Contemporary!3m4!1s0x3bc2c1bdab51a37b:0xe47ee57e8dc8955f!8m2!3d18.5365145!4d73.89641759999999","https://www.google.com/maps/place/VHC+Art+Gallery+%7C+Vida+Heydari+Contemporary/@18.5365145,73.89641759999999,13.99z/data=!4m16!1m7!3m6!1s0x3bc2c1bdab51a37b:0xe47ee57e8dc8955f!2sVHC+Art+Gallery+%7C+Vida+Heydari+Contemporary!8m2!3d18.5365145!4d73.89641759999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x3bc2c1bdab51a37b:0xe47ee57e8dc8955f!8m2!3d18.5365145!4d73.89641759999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJe6NRq73BwjsRX5XIjX7lfuQ,0x3bc2c1bdab51a37b:0xe47ee57e8dc8955f,1.64648496194205E+019,/g/11j8z7pkrk,-1981894454289066657
"art gallery, 411011, Pune, Maharashtra, IN",Tilting Art Gallery,Art gallery,Art gallery,Art gallery,,"HV4W+J3G, Shastrinagar, Yerawada, Pune, Maharashtra 411006","Shastrinagar, Yerawada",Pune,411006,18.5565656,73.895193,4.2,25,"https://search.google.com/local/reviews?placeid=ChIJ4dtSASLBwjsRpSMiiQd9F18&q=art+gallery,+411011,+Pune,+Maharashtra,+IN&authuser=0&hl=en&gl=IN",2,1,1,7,14,"{""Monday"": ""Closed"", ""Tuesday"": ""11am-8pm"", ""Wednesday"": ""11am-8pm"", ""Thursday"": ""11am-8pm"", ""Friday"": ""11am-8pm"", ""Saturday"": ""11am-8pm"", ""Sunday"": ""11am-8pm""}",,OPERATIONAL,"{""Accessibility"": {""Wheelchair-accessible toilet"": true}, ""Amenities"": {""Toilets"": true}, ""Children"": {""Good for kids"": true}}",,0,,,,,"https://www.google.com/maps/place/Tilting+Art+Gallery/@18.5565656,73.89519299999999,14z/data=!4m8!1m2!2m1!1sTilting+Art+Gallery!3m4!1s0x3bc2c1220152dbe1:0x5f177d07892223a5!8m2!3d18.5565656!4d73.89519299999999","https://www.google.com/maps/place/Tilting+Art+Gallery/@18.5565656,73.89519299999999,13.99z/data=!4m16!1m7!3m6!1s0x3bc2c1220152dbe1:0x5f177d07892223a5!2sTilting+Art+Gallery!8m2!3d18.5565656!4d73.89519299999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x3bc2c1220152dbe1:0x5f177d07892223a5!8m2!3d18.5565656!4d73.89519299999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJ4dtSASLBwjsRpSMiiQd9F18,0x3bc2c1220152dbe1:0x5f177d07892223a5,6.85208282938646E+018,/g/11g9glhxjw,6852082829386458021
